job_title,company,job_summary_clean,tfidf_score,embedding_score,relevant
Werkstudent Data Engineering & Data Science,Mercedes-Benz Tech Innovation,"Aufgaben: Aktive Mitwirkung an der Entwicklung und Implementierung innovativer AI-Lösungen für die Fahrzeugvalidierung. Konzeption und Aufbau von Prototypen sowie Minimum Viable Products. Unterstützung im Data Engineering durch Gestaltung, Weiterentwicklung und Optimierung von Datenpipelines für Fahrzeug- und Sensordaten. Analyse komplexer Datensätze, Mustererkennung und Ableitung relevanter Features für Modelle. Entwicklung, Training und Evaluation von Machine-Learning- und Deep-Learning-Modellen, z.B. im Kontext von Predictive Maintenance oder Anomalieerkennung. Beobachtung aktueller AI-Trends. Anforderungen: Laufendes Studium der Informatik, Data Science, Ingenieurwissenschaften, Mathematik, Physik oder vergleichbar. Fundierte Kenntnisse in Python, insbesondere Pandas, NumPy, scikit-learn sowie idealerweise TensorFlow oder PyTorch. Erste praktische Erfahrungen im Bereich Data Engineering (Datenpipelines, SQL, Databricks) und/oder Data Science (Machine Learning, Deep Learning) von Vorteil. Starkes analytisches Denkvermögen. Kenntnisse in Cloud-Plattformen (AWS, Azure, GCP) sowie sehr gute Deutsch- und Englischkenntnisse idealerweise.",0.388075788,0.4333123,1
Werkstudent Data Analytics / Computer Vision,CemeCon AG,"Aufgaben: Analyse und Verarbeitung großer Datenmengen (Big Data) aus Produktions-, Sensor- und Bilddaten. Entwicklung und Anwendung von Machine-Learning-Modellen (Python) zur Mustererkennung, Prozessoptimierung und Qualitätsvorhersage. Erstellung von Auswertungen, Dashboards und Visualisierungen zur Unterstützung datenbasierter Entscheidungen. Mitarbeit bei der Entwicklung und Implementierung von Computer-Vision-Anwendungen zur Analyse von Oberflächen und Prozessen. Unterstützung bei automatisierter Defekt- und Anomalieerkennung mithilfe von Bilddaten und Sensorik. Anforderungen: Eingeschriebener Student der Fachrichtung Informatik, Elektrotechnik, Maschinenbau, Computational Engineering Science, Wirtschaftsingenieurwesen oder vergleichbar. Interesse an Computer Vision, Data Analytics und industriellen Anwendungen. Gute Programmierkenntnisse in Python (pandas, NumPy, scikit-learn, ggf. TensorFlow/PyTorch). Idealerweise erste Erfahrung in Bildverarbeitung (OpenCV, Deep Learning), Machine Learning/Data Science, Verarbeitung großer Datenmengen oder ROS. Gutes Deutsch und Englisch.",0.39426289,0.4781422,1
Werkstudent Data Science - Jobsuche & Job-Empfehlung,XING,"Aufgaben: Unterstützung bei der datenbasierten Weiterentwicklung von Such- und Empfehlungssystemen. Arbeit mit echten Nutzerprofilen, Stellenanzeigen sowie Such- und Empfehlungsergebnissen. Analyse und Bewertung von Suchergebnissen und Job-Empfehlungen anhand konkreter Beispiele. Beurteilung, wie gut Jobs zu Nutzerprofilen passen. Identifikation relevanter Signale für Suche, Ranking, Matching und personalisierte Empfehlungen. Unterstützung beim Aufbau von Trainingsdaten, Labels, Evaluationslogiken und Qualitätsmetriken für Machine-Learning- und Sprachmodelle. Arbeit mit großen Datenmengen in Snowflake und SQL. Entwicklung von Analysen, Skripten und Notebooks in Python. Je nach Interesse Mitarbeit an produktiven Systemen und Deployment von ML-Modellen. Anforderungen: Studium in Informatik, Data Science oder vergleichbar, idealerweise im Master. Praktische Erfahrung mit Python, insbesondere für Datenanalysen. Grundkenntnisse in SQL. Interesse an Data Science, Machine Learning, Such- oder Empfehlungssystemen. Sehr gutes Deutsch und Englisch.",0.247093209,0.4273391,1
Data Scientist with AL & ML,Saransh Inc,"Experience in LLM and Generative AI Experience in Document extraction/chat Strong experience in Python Experience in building and maintaining open-domain or health care domain-specific ontologies Understanding of knowledge graphs Experience working in a cloud-native environment such as AWS Should have hands on experience with AWS Neptune or Neo4J graph database Have experience in building graph-based ontology from scratch and working with structured and unstructured data Experience supporting ML models development on big data infrastructure (on knowledge graph would be a bonus) Hands on python to build knowledge Graph/ontologies. Experience with AWS Tex tract, Comprehend Medical (nice to have) Need candidates who have strong code level experience in Python – Document Extraction Note: Client would prefer candidates who are 9/10 on Python, LLM, Generative AI and Document Extraction TENXE project - Knowledge Graph (AI-ML)",0.053670111,0.5282397,1
Senior Data Scientist - Large Language Models / Generative AI,Datadog,"Our Data Science Large Language Models team uses advanced generative AI technologies to create powerful features within the Datadog application. Our focus lies in the fine-tuning, training, and serving of LLMs to power features across the Datadog platform. As a data scientist on the team, you will contribute to building the foundation of impactful features using LLMs as a core computation unit to enable our users to understand their data and systems, reason, plan, and act. You will get the opportunity to collaborate with a group of skilled engineers and data scientists to improve and implement state-of-the-art Large Language Models and Agents to have a direct impact on Datadog products (see Bits AI, your new DevOps copilot for example) At Datadog, we place value in our office culture - the relationships that it builds, the creativity it brings to the table, and the collaboration of being together. We operate as a hybrid workplace to ensure our employees can create a work-life harmony that best fits them. What You’ll Do: Work on a wide range of projects, building large-scale distributed fine tuning and training infrastructure, deploying LLMs on GPU instances for real-time use cases, designing robust, secure infrastructure, or supporting cutting-edge AI research and development. Create new product features using advanced machine learning algorithms, LLMs, and statistical techniques Collaborate with a group of AI specialists and scientists in envisioning the future state of our abilities while also aiding in the design and deployment of crucial services. Actively participate in our journal club by reading and presenting latest research papers in the field of LLMs and Generative AI Provide deeper insights and stories behind massive data processed in Datadog systems Develop, deploy, monitor and maintain the LLM models, services, and infrastructure managed by your team and participate in your team’s on-call rotation Who You Are: You possess a BS/MS/PhD in Computer Science, Engineering, Machine Learning or a related scientific field or have equivalent experience You have relevant experience with Language Models (Large LMs is a plus), NLP, large-scale systems and data sets, deep learning, or adjacent fields. Writing production data pipelines and applications is a plus. You have experience with the stack for distributed training and inference of large models including distributed training and inference frameworks, and ML development frameworks such as Pytorch, Tensorflow, etc. Experience with CUDA is a plus. You possess the ability to elaborate complex models and ideas to non-technical personnel You value code simplicity and performance You are passionate about Generative AI and want to contribute to user-facing product Datadog values people from all walks of life. We understand not everyone will meet all the above qualifications on day one. That's okay. If you’re passionate about technology and want to grow your skills, we encourage you to apply. Benefits and Growth: Competitive global benefits New hire stock equity (RSUs) and employee stock purchase plan (ESPP) Opportunity to collaborate closely with colleagues across the Datadog offices in New York City and Paris Opportunity to attend and present at conferences and meetups Intra-departmental mentor and buddy program for in-house networking An inclusive company culture, ability to join our Community Guilds (Datadog employee resource groups) Benefits and Growth listed above may vary based on the country of your employment and the nature of your employment with Datadog. The reasonably estimated salary for this role at Datadog ranges from $187,000 to $240,000, plus a competitive equity package, and may include variable compensation. Actual compensation is based on factors such as the candidate's skills, qualifications, and experience. In addition, Datadog offers a wide range of best in class, comprehensive and inclusive employee benefits for this role including healthcare, dental, parental planning, and mental health benefits, a 401(k) plan and match, paid time off, fitness reimbursements, and a discounted employee stock purchase plan. About Datadog: Datadog (NASDAQ: DDOG) is a global SaaS business, delivering a rare combination of growth and profitability. We are on a mission to break down silos and solve complexity in the cloud age by enabling digital transformation, cloud migration, and infrastructure monitoring of our customers’ entire technology stacks. Built by engineers, for engineers, Datadog is used by organizations of all sizes across a wide range of industries. Together, we champion professional development, diversity of thought, innovation, and work excellence to empower continuous growth. Join the pack and become part of a collaborative, pragmatic, and thoughtful people-first community where we solve tough problems, take smart risks, and celebrate one another. Learn more about #DatadogLife on Instagram, LinkedIn, and Datadog Learning Center. Equal Opportunity at Datadog: Datadog is an Affirmative Action and Equal Opportunity Employer and is proud to offer equal employment opportunity to everyone regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, veteran status, and more. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. Here are our Candidate Legal Notices for your reference. Your Privacy: Any information you submit to Datadog as part of your application will be processed in accordance with Datadog’s Applicant and Candidate Privacy Notice.",0.055635197,0.53266037,0
Senior Machine Learning Engineer,Lirio,"Position Summary The Senior Machine Learning Engineer is responsible for assisting in the development, maintenance, and improvement of machine learning models/agents and the infrastructure that makes up and wraps the learning framework. The position calls for close collaboration with machine learning research scientists and engineers on enhancements to our learning platform. Essential Duties And Responsibilities Write customized production ready machine learning software for Lirio’s product offering (30%) Implement novel customizations to state-of-the-art deep learning (DL) and reinforcement learning (RL) algorithms to match Lirio’s product requirements (15%) Conduct experiments to test feasibility and performance of these customized prototypes (5%) Store, retrieve, and manipulate internal and external data for analysis and model building (10%) Run benchmark machine learning algorithms (5%) Test and modify existing machine learning models, correct errors and bugs, and improve computational efficiency and predictive performance (30%) Discuss and understand the machine learning requirements of Lirio’s product vision (5%) Regular and reliable attendance. Perform other duties as assigned. This position can be remote, or hybrid if located in Tennessee. Education And Experience 3-5 years industry experience Master's Degree in Computer Science System Experience Python Tensroflow/Pytorch Numpy Pandas SQL Docker Anaconda/Conda Other Qualifications Solid understanding of machine learning, deep learning, object oriented programming, software engineering, etc. Version control Technical writing Collaborative / team oriented Good time-management skills Ability to prioritize Innovative / out of the box thinking and problem solving Advanced Technical Computer Skills",0.280516194,0.4659271,0
Machine Learning Engineer,Tiger Analytics,"Tiger Analytics is looking for experienced Machine Learning Engineers to join our fast-growing advanced analytics consulting firm. Our employees bring deep expertise in Machine Learning, Data Science, and AI. We are the trusted analytics partner for multiple Fortune 500 companies, enabling them to generate business value from data. Our business value and leadership has been recognized by various market research firms, including Forrester and Gartner. We are looking for top-notch talent as we continue to build the best global analytics consulting team in the world. You will be responsible for: Providing solutions for the deployment, execution, validation, monitoring, and improvement of data science solutions Creating Scalable Machine Learning systems that are highly performant Building reusable production data pipelines for implemented machine learning models Writing production-quality code and libraries that can be packaged as containers, installed and deployed You will collaborate with cross-functional teams and business partners and will have the opportunity to drive current and future strategy by leveraging your analytical skills as you ensure business value and communicate the results. Requirements Essential Functions Support ML projects from strategy through implementation and on-going improvements. Perform data collection, analysis, validation, cleansing, developing software in support of multiple machine learning workflows, integrating / deployment of code in a large-scale productionnvironments and reporting. Designs, codes, tests, debugs, and documents ML code - models, ETL processes, SQL queries, and stored procedures. Extracts and analyzes data from various structured and unstructured sources, including databases, files, data lakes and external APIs/websites. Responds to data inquiries from various groups within client’s organization. Requires experience with relational databases, document databases (NOSQL) and knowledge of query tools and/or statistical software. Responsible for other duties/projects as assigned by business management / leadership. Qualifications Minimum Required 7 plus years of experience in statistical modeling, data mining, analytics techniques, machine learning software development and reporting. 5 plus years of applied experience in building / deploying Machine Learning solutions using various supervised/unsupervised ML algorithms such as Linear/Logistic Regression, Support Vector Machines, (Deep) Neural Networks, Random Forest, etc., and key parameters that affect their performance. 5 plus years of hands-on experience with Python and/or R programming and statistical packages, and ML libraries such as scikit-learn, TensorFlow, PyTorch, etc. 3 plus years of experience in building use cases / solutions especially around AI/ based on Cloud infrastructure and services such as Azure,GCP,AWS cloud platforms and Onpremise environments Expertise with SQL, noSQL, Python, R, Javascript programming languages and big data environments (such as Splunk, Hadoop, Spark, Flink, Stream Analytics, Kafka, Docker, Kubernetes etc.) Experience developing experimental and analytic plans for data modeling processes, using strong baselines, and determining cause and effect relations. Understanding of relevant statistical measures such as confidence intervals, significance of error measurements, development and evaluation data sets, etc. in data analysis projects. Expertise with scaling pilot machine learning solutions to a large scale production environment using databricks Expertise with visualization tools such as PowerBI, D3JS etc. Excellent written and verbal communication skills. Desired Bachelor or Masters degree in highly quantitative field (computer science, or electrical engineering, mathematics, statistics) or equivalent domain specific experience in lieu of a degree. Proficient in machine learning data workflows, data collection methodologies, and data analysis. Experience with architecting, designing, developing software solution in Azure and on-prem environments. Certifications AI / ML and Azure Cloud platforms Benefits This position offers an excellent opportunity for significant career development in a fast-growing and challenging entrepreneurial environment with a high degree of individual responsibility.",0.282054962,0.41985,1
Machine Learning Software Engineer,The AI Institute,"Our Mission Our mission is to solve the most important and fundamental challenges in AI and Robotics to enable future generations of intelligent machines that will help us all live better lives. Software Engineers will work cross-functionally, creating new technology to improve software development for robots. If you have a passion for developing technology for robots and use it to advance their capabilities and usefulness, you will want to join us! We are onsite in our new Cambridge, MA office where we are building a collaborative and exciting new organization. Responsibilities Train, deploy and maintain various ML algorithms on cloud and on-premise infrastructure Develop process, pipeline and tools for all components of ML lifecycle (training, evaluation, deployment) Build and maintain data, model and experimentation pipelinesHelp with model tuning, algorithm selection, hyperparameter search using our MLops platform Partner closely with research and applied science teams to put models into production Promote quality and reliability through regular code reviews Requirements 10+ years overall experience delivering robust code that includes 5 years with ML BS or MS in computer science, engineering, data science, or related technical, math, or scientific field Experience with C++ or Python Experience with deep-learning techniques in NLP and Computer Vision Experience using data science tools, libraries, and frameworks (e.g. Scikit-learn, caret, mlr, mllib, SparkML, NumPy, SciPy, Pandas, TensorFlow, PyTorch, MXNet) Experience with git, issue tracking, CI/CD, and modern software engineering practices Understanding of machine learning algorithms such as Linear and Logistic regressions, Decision tree, Naive Bayes, KNN, K-means, Random forest Bonus (Not Required) Experience with Docker, Kubernetes, cloud computing, or similar applications Experience with data processing, logging, and visualization tools Experience with MLOps (model versioning, model and data lineage, monitoring, model hosting and deployment, scalability, orchestration, continuous learning)Experience creating orchestration workflows with tools such as Airflow, Kubeflow, or AWS Step Functions DevOps experience (e.g. CI/CD Pipelines, Infrastructure as Code, containers, Agile software development) Experience implementing IoT solutions such as edge computing Big Data batch and real time data processing experience (e.g. Hadoop, Spark , Presto, Kafka, Kinesis, Flink) We provide equal employment opportunities to all employees and applicants for employment and prohibit discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.",0.296839459,0.34371942,0
Lecturer/Reader in Machine Learning,The University of Edinburgh,"Job Description Lecturer/Reader in Machine Learning (equiv. to Asst/Assoc Prof) Lecturer: UE08 £45,585 - £54,395pa Reader: UE09 £57,696 - £64,914pa School of Informatics, College of Science and Engineering Full-time 35 hours per week Open-ended Applications are invited for an academic position in machine learning in the School of Informatics at the University of Edinburgh, one of the largest centres in Machine Learning and Artificial Intelligence in Europe. The appointment will be full-time (35h per week) and open-ended (equivalent to a US tenured position). Whom We Are Looking For The successful candidate will have a PhD (or be near to completing one), an established research agenda, and the enthusiasm and ability to undertake original research and to run a research group. They will show excellent teaching skills and engagement with academic supervision. We are seeking current and future leaders in the field. We seek candidates with research interests in the development of cutting-edge machine learning methods. Candidates will have a research interest in principled approaches to machine learning, and/or the development of novel methods of wide applicability with state-of-the-art capability. The candidate's research focus might involve, for example (in no particular order and not exclusively): theoretical foundations of machine learning, including deep learning efficiency of methods and models, as well as data and energy efficiency transfer and small-data learning generative deep learning Bayesian and stochastic optimisation scalable Bayesian methods causal and probabilistic machine learning fairness, privacy and ethics in machine learning decision-making under uncertainty Candidates should have a strong technical track record and be interested and able to teach undergraduate and master's level courses in areas related to machine learning. The School of Informatics The School of Informatics was ranked #1 in the UK for research power in Computer Science and Informatics Times Higher Education ranking, based on the 2021 Research Excellence Framework (REF). We are one of the top six institutions in Europe for AI according to the CSRankings website csrankings.org, and the highest-ranked UK institution. The School of Informatics currently hosts several doctoral training programmes related to the field of machine learning through which a successful candidate may recruit PhD students, in addition to places available through the School. The successful candidate will join a dynamic environment with both junior and senior faculty members and dedicated professional service staff. The professional service available in the School includes excellent support for national and international research funding applications as well as support for commercial engagement. The University of Edinburgh The University of Edinburgh is a research-intensive university that has been ranked 22nd in the 2024 QS World University Rankings. The University is an active Unit in the European Laboratory for Learning and Intelligent Systems (ELLIS); these units are recognized centres of excellence in AI research across Europe. In addition, it is one of the five founding partners of the UK's Alan Turing Institute for Data Science and Artificial Intelligence. This gives rise to opportunities to interact with PhD students, research fellows and senior researchers within the Alan Turing Institute. There are also many opportunities within the University to engage in collaborative activities with researchers in other areas of computer science, mathematics and statistics, and across the physical, social, and biomedical sciences. The University of Edinburgh holds a Silver Athena SWAN award in recognition of our commitment to advance gender equality in higher education. We are members of the Race Equality Charter and Stonewall Scotland Diversity Champions, actively promoting LGBT equality. The City Edinburgh is overall an attractive city to live in: it is walkable, enjoys proximity to nature and features a world-class cultural scene that includes attractions such as the Edinburgh International Festival or the Edinburgh Fringe . Edinburgh was ranked 1st in the 2022 Time-Out Index of the best cities in the world. Their ranking factored in everything from scenic beauty, community spirit, public transport, walk-ability, restaurants, through to cleanliness. Salary And Benefits The appointed candidate can expect the following salary: Lecturer (UE08 salary band): 45,585 GBP - 54,395 GBP Reader (UE09 salary band): 57,696 GBP - 64,914 GBP The hired candidate will further benefit from a negotiable reward package and a wide range of staff benefits, which includes a generous holiday entitlement (36 days of annual leave per year plus public holidays), a defined benefits pension scheme , staff discounts, family friendly initiatives , flexible working and much more. Candidates can access the staff benefits page for further information and use the reward calculator to find out the total value of pay and benefits provided. Your application Applicants must provide a cover letter, a recent CV, a research statement (2-3 pages), and a teaching statement (1-2 pages). The teaching statement should specify the candidate's experience and approach to teaching, and what specialty and introductory (particularly undergraduate Informatics) courses they would be qualified to teach. We recognise that the pandemic may have affected some applicants disproportionately, and we aim to take this into account in the selection process. Applicants can optionally include a short statement regarding how their work has been disrupted by Covid, and how this affects their recent track record. This statement should be part of the cover letter and should not be more than a paragraph in length. Full details about the application procedure and link to the application portal are available through the University of Edinburgh jobs website www.ed.ac.uk/human-resources/jobs with vacancy reference 8801 Please note that we will not accept any applications sent by email. UE08 Lecturer Attributes for success: PhD or equivalent (such as extensive industry experience), and experience as an established academic in Machine Learning or a related field. Candidates who are close to completing their PhD (i.e., thesis submission is imminent), and who otherwise meet the selection criteria, will be considered. Ability to undertake original research, including leading a research group. Ability to attract research funding as an independent researcher. A track record of first author and/or collaborative publications in high quality journals and international conferences. Strong relevant research and teaching skills. Effective written and oral communication skills in a range of contexts (e.g., teaching, research presentations and publications). Ability to contribute to teaching on a range of non-Honours courses as well as in more specialist areas of machine learning. The ability to engage with a range of teaching mediums including online and distance learning. Click here for a copy of the full job description for the position at Lecturer level. UE09 Reader: as above* and including Proven ability to provide leadership for activities in delivering the School’s objectives. Extensive experience in research, postgraduate supervision, and teaching. Proven ability to foster and embed a strong student-focused culture. Evidence of significant achievement in the relevant field through, e.g., successful knowledge transfer from research to academic community, public, private and/or voluntary sectors and the general public; the receipt of prestigious prizes and awards; membership of national and international bodies relevant to the research field. Experience of managing, motivating and developing research staff, students and projects The PhD must be completed for a Reader appointment. Click here for a copy of the full job description for the position at Reader level. Contact Informal enquiries may be addressed to Drs Michael Gutmann ( michael.gutmann@ed.ac.uk ), Oisin Mac Aodha ( oisin.macaodha@ed.ac.uk ), or Antonio Vergari ( avergari@exseed.ed.ac.uk ). Antonio will be attending the NeurIPS conference and is available for informal meetings there. Key Dates To Note The closing date is 15th of January 2024. Unless stated otherwise the closing time for applications is 11:59pm GMT. If you are applying outside the UK the closing time on our adverts automatically adjusts to your browsers local time zone. We will shortlist candidates and shortlisted candidates will be invited to an interview, scheduled for February 2024. Due to the level of applications, feedback can only be provided to interviewed candidates. About Us As a world-leading research-intensive University, we are here to address tomorrow’s greatest challenges. Between now and 2030 we will do that with a values-led approach to teaching, research and innovation, and through the strength of our relationships, both locally and globally.",0.105863259,0.5414307,0
Machine Learning Engineer,Optimal Staffing,"Collaborate with the data science team through research and developing for development of in-line quality ML models for signals and images to solve different problems. Design, implement, and verify signal and image processing algorithms to extract information from sensor systems. Experience in machine learning algorithms to automatically extract relevant features from signals, enabling more accurate classification, detection, and prediction. Proficiency in programming languages commonly used in ML and DL, such as Python, and familiarity with software development practices. Experience with deep learning architectures such as CNNs, RNNs, GANs, and familiarity with state-of-the-art models in computer vision Experience in image and signal processing techniques Ability to optimize ML models and algorithms for efficient execution on edge devices, considering limited computational resources. Experience in hardware components and their integration with edge devices, including GPUs, sensors, and other peripherals. Set-up Lab-system for systematic data generation with Cobots and camera. Convert Lab-methodology to automation step through Cobots & Software Support of automation of process components (Camera, Cobots and prismatic cell). Support of hardware and software Integration. Python Programming skills is a must. Bachelor's Degree and 2-5 years of experience in scientific fields including Computer Science, Electrical Engineering, Computer Engineering, and/or Mathematics with a deep learning background required. Good analytical and communication skills. Attention to detail, self-motivated. Excellent communication skills to work effectively with cross-functional teams and stakeholders. Strong organizational skills with a high level of attention to detail and interpersonal skills to work effectively with others.",0.106580785,0.5808445,1
