job_title,company,job_location,job_summary,job_skills,source,job_summary_clean
Werkstudent/in im Bereich Data Science (w/d/m),Rohde & Schwarz,Leipzig (Deutschland),"Aufgaben: Du arbeitest mit uns zusammen an unseren Machine Learning Modellen mit dem Ziel der Klassifikation von Netzwerkverkehr. Du untersuchst Problemstellungen und erarbeitest fundierte Lösungsansätze. Du entwickelst Automatisierungsskripte in Python. Du unterstützt das Data Science Teams im Tagesgeschäft. Du arbeitest an der kontinuierlichen Verbesserung unserer Produktsoftware mit.

Qualifikationen: Du bist immatrikuliert an einer deutschen Hochschule und verfügst über Programmiererfahrung in Python. Du bist in der Lage mit Machine Learning Modellen umzugehen und zu erstellen. Du hast Kenntnisse im Umgang mit Linux und den gängigen ML Bibliotheken. Dein Profil runden sehr gute Deutsch- und Englischkenntnisse ab (mind. C1). Du kannst an mind. 2 Tagen/Woche in unserem Büro in Leipzig anwesend sein.","Python, Machine Learning, Linux, ML Bibliotheken",Linkedin,Aufgaben: Du arbeitest mit uns zusammen an unseren Machine Learning Modellen mit dem Ziel der Klassifikation von Netzwerkverkehr. Du untersuchst Problemstellungen und erarbeitest fundierte Lösungsansätze. Du entwickelst Automatisierungsskripte in Python. Du unterstützt das Data Science Teams im Tagesgeschäft. Du arbeitest an der kontinuierlichen Verbesserung unserer Produktsoftware mit. Qualifikationen: Du bist immatrikuliert an einer deutschen Hochschule und verfügst über Programmiererfahrung in Python. Du bist in der Lage mit Machine Learning Modellen umzugehen und zu erstellen. Du hast Kenntnisse im Umgang mit Linux und den gängigen ML Bibliotheken. Dein Profil runden sehr gute Deutsch- und Englischkenntnisse ab (mind. C1). Du kannst an mind. 2 Tagen/Woche in unserem Büro in Leipzig anwesend sein.
Werkstudent (m/w/d) Data Science - Hotel,CHECK24 Vergleichsportal,"Münster, Nordrhein-Westfalen, Deutschland","Speed, Agilität und steile Entwicklungskurven – das macht CHECK24 aus. Wir suchen einen Werkstudent (m/w/d) Data Science bei der CHECK24 Vergleichsportal Hotel GmbH.

Was Du mitbringst: Laufendes Studium mit naturwissenschaftlicher oder technischer Ausrichtung (z. B. Informatik, Wirtschaftsinformatik, Mathematik oder Physik). Erste praktische Erfahrung mit Python und gängigen Data-Science-Bibliotheken (z. B. Pandas, NumPy, scikit-learn). Grundkenntnisse in Machine Learning sowie Verständnis des Data-Science-Lifecycles. Interesse an modernen KI-Technologien wie Large Language Models, Prompt Engineering und AI Agents. Erste Berührungspunkte mit Docker oder Cloud-Plattformen (z. B. AWS) von Vorteil. Gute Deutschkenntnisse (mind. B2).

Zu Deinen Aufgaben zählen: Mitarbeit bei der Entwicklung und Optimierung von KI- und Machine-Learning-Lösungen. Unterstützung beim Aufbau und der Pflege von Datenpipelines sowie bei Datenaufbereitung und Feature Engineering. Mitwirkung beim Training, Monitoring und der Analyse von Machine-Learning-Modellen. Unterstützung beim Tracking von Experimenten und der Dokumentation von Modellen und Ergebnissen (z. B. mit MLflow). Mitarbeit bei der Integration moderner Large Language Models, Prompting-Ansätzen und Agentic Systems in unsere Produkte.","Python, Pandas, NumPy, scikit-learn, Machine Learning, LLM, Prompt Engineering, Docker, AWS, MLflow",Linkedin,"Speed, Agilität und steile Entwicklungskurven – das macht CHECK24 aus. Wir suchen einen Werkstudent (m/w/d) Data Science bei der CHECK24 Vergleichsportal Hotel GmbH. Was Du mitbringst: Laufendes Studium mit naturwissenschaftlicher oder technischer Ausrichtung (z. B. Informatik, Wirtschaftsinformatik, Mathematik oder Physik). Erste praktische Erfahrung mit Python und gängigen Data-Science-Bibliotheken (z. B. Pandas, NumPy, scikit-learn). Grundkenntnisse in Machine Learning sowie Verständnis des Data-Science-Lifecycles. Interesse an modernen KI-Technologien wie Large Language Models, Prompt Engineering und AI Agents. Erste Berührungspunkte mit Docker oder Cloud-Plattformen (z. B. AWS) von Vorteil. Gute Deutschkenntnisse (mind. B2). Zu Deinen Aufgaben zählen: Mitarbeit bei der Entwicklung und Optimierung von KI- und Machine-Learning-Lösungen. Unterstützung beim Aufbau und der Pflege von Datenpipelines sowie bei Datenaufbereitung und Feature Engineering. Mitwirkung beim Training, Monitoring und der Analyse von Machine-Learning-Modellen. Unterstützung beim Tracking von Experimenten und der Dokumentation von Modellen und Ergebnissen (z. B. mit MLflow). Mitarbeit bei der Integration moderner Large Language Models, Prompting-Ansätzen und Agentic Systems in unsere Produkte."
Werkstudent Data Science & Machine Learning (m/w/d),Mubea,"Attendorn, Nordrhein-Westfalen, Deutschland","In den vergangenen Jahrzehnten haben wir uns mit unseren Produkten für Fahrwerk, Karosserie und Antrieb zu einem Top-Automobilzulieferer entwickelt. Mit neuen Leichtbauprodukten, Werkstoffen und Fertigungstechnologien bieten wir in enger Zusammenarbeit mit unseren Kunden und wissenschaftlichen Institutionen innovative Lösungen für leichtere Fahrzeuge. Wir schaffen bahnbrechende Neuerungen und setzen damit internationale Standards.
Als inhabergeführtes Familienunternehmen mit hoher Flexibilität, kurzen Entscheidungswegen und einer langfristig ausgerichteten Strategie beschäftigen wir weltweit mehr als 17.200 Mitarbeiter an 70 Standorten in 22 Ländern.

Das sind Deine Aufgaben:
Gestalte die digitale Zukunft der Produktion aktiv mit! In unserem Zentralbereich Fertigungstechnologien unterstützt Du uns beim Aufbau intelligenter Produktionssysteme. Du arbeitest an Machine Learning Use Cases wie Predictive Maintenance, Anomalieerkennung und Prozessoptimierung – von der Datenanalyse bis zum produktiven ML-Modell. Dabei nutzt Du Echtzeitdaten aus unserer zentralen IoT-Plattform, entwickelst Auswertungsalgorithmen und baust Dashboards für unsere weltweiten Produktionsstandorte auf. Du bekommst Einblicke in modernste Fertigungstechnologien und arbeitest in cross-funktionalen Projekten mit Produktionsexperten zusammen. Deine Analysen haben direkten Impact auf die Effizienz unserer Werke.

Das wünschen wir uns von Dir:
Du befindest Dich mindestens im 3. Semester Deines B.Sc.- oder M.Sc.-Studiums in Data Science, Informatik, Maschinenbau, Wirtschaftsingenieurwesen, Mathematik oder einem verwandten Studiengang.
Du hast bereits erste Erfahrungen mit Python und interessierst Dich für Machine Learning (z.B. scikit-learn, TensorFlow, pandas).
Du gehst sicher mit Datenanalyse und Visualisierung um.
Du hast die Möglichkeit, regelmäßig in Attendorn zu arbeiten.
Du bringst analytisches Denken, Neugier und eine Hands-on-Mentalität mit.
Idealerweise hast Du bereits mit SQL, Zeitreihendaten oder IoT-Systemen gearbeitet.","Python, scikit-learn, TensorFlow, pandas, SQL, IoT, Predictive Maintenance, Datenanalyse, Visualisierung",Linkedin,"In den vergangenen Jahrzehnten haben wir uns mit unseren Produkten für Fahrwerk, Karosserie und Antrieb zu einem Top-Automobilzulieferer entwickelt. Mit neuen Leichtbauprodukten, Werkstoffen und Fertigungstechnologien bieten wir in enger Zusammenarbeit mit unseren Kunden und wissenschaftlichen Institutionen innovative Lösungen für leichtere Fahrzeuge. Wir schaffen bahnbrechende Neuerungen und setzen damit internationale Standards. Als inhabergeführtes Familienunternehmen mit hoher Flexibilität, kurzen Entscheidungswegen und einer langfristig ausgerichteten Strategie beschäftigen wir weltweit mehr als 17.200 Mitarbeiter an 70 Standorten in 22 Ländern. Das sind Deine Aufgaben: Gestalte die digitale Zukunft der Produktion aktiv mit! In unserem Zentralbereich Fertigungstechnologien unterstützt Du uns beim Aufbau intelligenter Produktionssysteme. Du arbeitest an Machine Learning Use Cases wie Predictive Maintenance, Anomalieerkennung und Prozessoptimierung – von der Datenanalyse bis zum produktiven ML-Modell. Dabei nutzt Du Echtzeitdaten aus unserer zentralen IoT-Plattform, entwickelst Auswertungsalgorithmen und baust Dashboards für unsere weltweiten Produktionsstandorte auf. Du bekommst Einblicke in modernste Fertigungstechnologien und arbeitest in cross-funktionalen Projekten mit Produktionsexperten zusammen. Deine Analysen haben direkten Impact auf die Effizienz unserer Werke. Das wünschen wir uns von Dir: Du befindest Dich mindestens im 3. Semester Deines B.Sc.- oder M.Sc.-Studiums in Data Science, Informatik, Maschinenbau, Wirtschaftsingenieurwesen, Mathematik oder einem verwandten Studiengang. Du hast bereits erste Erfahrungen mit Python und interessierst Dich für Machine Learning (z.B. scikit-learn, TensorFlow, pandas). Du gehst sicher mit Datenanalyse und Visualisierung um. Du hast die Möglichkeit, regelmäßig in Attendorn zu arbeiten. Du bringst analytisches Denken, Neugier und eine Hands-on-Mentalität mit. Idealerweise hast Du bereits mit SQL, Zeitreihendaten oder IoT-Systemen gearbeitet."
Werkstudent Machine Learning Engineering (d/m/w/x),Mercedes-Benz Tech Innovation,"Karlsruhe, Baden-Württemberg, Deutschland","Aufgaben: Unterstützung bei der Weiterentwicklung großer Sprachmodelle (LLMs) zu multimodalen Modellen für Audio- und Vision-Anwendungen. Recherche, Erstellung und Aufbereitung qualitativ hochwertiger multimodaler Datensätze für Training und Weiterentwicklung der Modelle. Unterstützung bei Daten-, Trainings- und Evaluationspipelines in der Cloud. Mitwirkung beim Fine-Tuning bestehender Base Models (z.B. Qwen) auf multimodalen Daten. Arbeit mit modernen Ansätzen wie RAG, Tool Calling und agentischem Verhalten. Zusammenarbeit in einem agilen Produktentwicklungsteam.

Anforderungen: Studium in Informatik, Data Science, Künstliche Intelligenz, Machine Learning oder vergleichbar. Erfahrung in Softwareentwicklung mit Python sowie im Trainieren von Deep-Learning- und Machine-Learning-Modellen. Verständnis, wie Large Language Models funktionieren und trainiert werden. Idealerweise erste Erfahrungen mit Datensatz-Erstellung (Data Preprocessing, Filtering, Augmentation) oder LLM-gestützten Anwendungen. Erfahrungen mit Cloudentwicklung (Databricks, Azure) von Vorteil.","Python, Deep Learning, Machine Learning, LLM, RAG, Tool Calling, Fine-Tuning, Cloud, Databricks, Azure, Data Preprocessing",Linkedin,"Aufgaben: Unterstützung bei der Weiterentwicklung großer Sprachmodelle (LLMs) zu multimodalen Modellen für Audio- und Vision-Anwendungen. Recherche, Erstellung und Aufbereitung qualitativ hochwertiger multimodaler Datensätze für Training und Weiterentwicklung der Modelle. Unterstützung bei Daten-, Trainings- und Evaluationspipelines in der Cloud. Mitwirkung beim Fine-Tuning bestehender Base Models (z.B. Qwen) auf multimodalen Daten. Arbeit mit modernen Ansätzen wie RAG, Tool Calling und agentischem Verhalten. Zusammenarbeit in einem agilen Produktentwicklungsteam. Anforderungen: Studium in Informatik, Data Science, Künstliche Intelligenz, Machine Learning oder vergleichbar. Erfahrung in Softwareentwicklung mit Python sowie im Trainieren von Deep-Learning- und Machine-Learning-Modellen. Verständnis, wie Large Language Models funktionieren und trainiert werden. Idealerweise erste Erfahrungen mit Datensatz-Erstellung (Data Preprocessing, Filtering, Augmentation) oder LLM-gestützten Anwendungen. Erfahrungen mit Cloudentwicklung (Databricks, Azure) von Vorteil."
Werkstudent Data Science - Jobsuche & Job-Empfehlung,XING,Hamburg,"Aufgaben: Unterstützung bei der datenbasierten Weiterentwicklung von Such- und Empfehlungssystemen. Arbeit mit echten Nutzerprofilen, Stellenanzeigen sowie Such- und Empfehlungsergebnissen. Analyse und Bewertung von Suchergebnissen und Job-Empfehlungen anhand konkreter Beispiele. Beurteilung, wie gut Jobs zu Nutzerprofilen passen. Identifikation relevanter Signale für Suche, Ranking, Matching und personalisierte Empfehlungen. Unterstützung beim Aufbau von Trainingsdaten, Labels, Evaluationslogiken und Qualitätsmetriken für Machine-Learning- und Sprachmodelle. Arbeit mit großen Datenmengen in Snowflake und SQL. Entwicklung von Analysen, Skripten und Notebooks in Python. Je nach Interesse Mitarbeit an produktiven Systemen und Deployment von ML-Modellen.

Anforderungen: Studium in Informatik, Data Science oder vergleichbar, idealerweise im Master. Praktische Erfahrung mit Python, insbesondere für Datenanalysen. Grundkenntnisse in SQL. Interesse an Data Science, Machine Learning, Such- oder Empfehlungssystemen. Sehr gutes Deutsch und Englisch.","Python, SQL, Snowflake, Machine Learning, Recommendation Systems, Search Systems, Data Analysis, Ranking, Matching",XING,"Aufgaben: Unterstützung bei der datenbasierten Weiterentwicklung von Such- und Empfehlungssystemen. Arbeit mit echten Nutzerprofilen, Stellenanzeigen sowie Such- und Empfehlungsergebnissen. Analyse und Bewertung von Suchergebnissen und Job-Empfehlungen anhand konkreter Beispiele. Beurteilung, wie gut Jobs zu Nutzerprofilen passen. Identifikation relevanter Signale für Suche, Ranking, Matching und personalisierte Empfehlungen. Unterstützung beim Aufbau von Trainingsdaten, Labels, Evaluationslogiken und Qualitätsmetriken für Machine-Learning- und Sprachmodelle. Arbeit mit großen Datenmengen in Snowflake und SQL. Entwicklung von Analysen, Skripten und Notebooks in Python. Je nach Interesse Mitarbeit an produktiven Systemen und Deployment von ML-Modellen. Anforderungen: Studium in Informatik, Data Science oder vergleichbar, idealerweise im Master. Praktische Erfahrung mit Python, insbesondere für Datenanalysen. Grundkenntnisse in SQL. Interesse an Data Science, Machine Learning, Such- oder Empfehlungssystemen. Sehr gutes Deutsch und Englisch."
Praktikant*in im Bereich Big Data & Advanced Analytics - Data Scientist,Commerzbank AG,"Frankfurt am Main, Deutschland","Aufgaben: Unterstützung erfahrener Data Scientists bei der Analyse und Transformation komplexer Daten in der Key Area Big Data & Advanced Analytics. Unterstützung beim Training, Testing und der Optimierung von KI-Modellen. Mitarbeit an der Entwicklung nachhaltiger und maßgeschneiderter Lösungen. Unterstützung von Modelltrainingsprozessen und Integration von KI-Modellen in Cloud-Infrastrukturen zur Sicherstellung der Skalierbarkeit.

Anforderungen: Abgeschlossenes Bachelorstudium und begonnenes Masterstudium (Data Science, Informatik, Mathematik o.ä.). Grundlegendes Verständnis von Machine-Learning-Methoden sowie Umgang mit Datenbanken. Erste Erfahrung in explorativer Datenanalyse und statistischer Modellierung. Kenntnisse in generativer KI und erste Berührungspunkte mit LLM-gestützten Agenten. Erste Erfahrungen in Softwareentwicklung und Programmierkenntnisse in Python. Fließende Englisch- und Deutschkenntnisse (mind. B2).","Python, Machine Learning, Databases, Data Analysis, Statistical Modeling, Generative AI, LLM Agents, Cloud Computing, Software Development",Xing,"Aufgaben: Unterstützung erfahrener Data Scientists bei der Analyse und Transformation komplexer Daten in der Key Area Big Data & Advanced Analytics. Unterstützung beim Training, Testing und der Optimierung von KI-Modellen. Mitarbeit an der Entwicklung nachhaltiger und maßgeschneiderter Lösungen. Unterstützung von Modelltrainingsprozessen und Integration von KI-Modellen in Cloud-Infrastrukturen zur Sicherstellung der Skalierbarkeit. Anforderungen: Abgeschlossenes Bachelorstudium und begonnenes Masterstudium (Data Science, Informatik, Mathematik o.ä.). Grundlegendes Verständnis von Machine-Learning-Methoden sowie Umgang mit Datenbanken. Erste Erfahrung in explorativer Datenanalyse und statistischer Modellierung. Kenntnisse in generativer KI und erste Berührungspunkte mit LLM-gestützten Agenten. Erste Erfahrungen in Softwareentwicklung und Programmierkenntnisse in Python. Fließende Englisch- und Deutschkenntnisse (mind. B2)."
Internship / Flexiship Data Science & AI Support,Deutsche Telekom Technik GmbH,"Bonn, Deutschland","Tasks: Supporting data analysis and preparation efforts. Creating clear and insightful data visualizations. Applying analytical skills to solve complex challenges. Collaborating effectively with team members on ongoing projects. Gaining initial exposure to cloud platforms, particularly Microsoft Azure.

Must-Have Skills: Solid understanding of data analysis techniques. Ability to effectively visualize data. Strong analytical thinking skills. Excellent teamwork and collaboration skills. Basic knowledge of cloud platforms (e.g., Azure).

Nice-to-Have Skills: Initial experience with Python and relevant libraries (e.g., Pandas, NumPy). Basic understanding of Machine Learning concepts. Familiarity with SQL databases. Experience with version control systems (e.g., Git). Knowledge of Jupyter Notebooks.","Python, Pandas, NumPy, Machine Learning, SQL, Azure, Git, Jupyter Notebooks, Data Visualization",XING,"Tasks: Supporting data analysis and preparation efforts. Creating clear and insightful data visualizations. Applying analytical skills to solve complex challenges. Collaborating effectively with team members on ongoing projects. Gaining initial exposure to cloud platforms, particularly Microsoft Azure. Must-Have Skills: Solid understanding of data analysis techniques. Ability to effectively visualize data. Strong analytical thinking skills. Excellent teamwork and collaboration skills. Basic knowledge of cloud platforms (e.g., Azure). Nice-to-Have Skills: Initial experience with Python and relevant libraries (e.g., Pandas, NumPy). Basic understanding of Machine Learning concepts. Familiarity with SQL databases. Experience with version control systems (e.g., Git). Knowledge of Jupyter Notebooks."
"WerkstudentIn Data Science, Machine Learning & AI",SCHOTT AG,"Mainz, Deutschland","Aufgaben: Unterstützung des Machine-Learning/AI-Teams im Umfeld Operational Technology (OT) 4.0. Entwicklung und Weiterentwicklung von Monitoring- und Observability-Lösungen für Machine-Learning-/AI-Anwendungen. Mitarbeit an der Weiterentwicklung der SCHOTT MLOps-Plattform und zugehöriger Architekturkomponenten. Umsetzung von Machine-Learning-, Data-Science- und AI-Use-Cases aus der Fertigung. Unterstützung bei Entwicklung, Testen und Operationalisierung von ML-Modellen. Analyse, Aufbereitung und Visualisierung von Produktions- und Sensordaten. Evaluierung neuer Technologien im Bereich Machine Learning, MLOps und Künstliche Intelligenz.

Anforderungen: Laufendes Studium der (Wirtschafts-)Informatik, Data Science, Mathematik, Physik, des (Wirtschafts-)Ingenieurwesens oder vergleichbar. Gute Grundkenntnisse in Python. Interesse und idealerweise erste praktische Erfahrungen in Machine Learning, Deep Learning oder Künstlicher Intelligenz. Interesse an Softwareentwicklung und modernen Cloud- bzw. Datenplattformen. Interesse an MLOps, Data Engineering oder Machine-Learning-Plattformen. Sehr gute Deutsch- und Englischkenntnisse.","Python, Machine Learning, Deep Learning, MLOps, Cloud, Data Engineering, Monitoring, Observability, MS Office",StepStone,"Aufgaben: Unterstützung des Machine-Learning/AI-Teams im Umfeld Operational Technology (OT) 4.0. Entwicklung und Weiterentwicklung von Monitoring- und Observability-Lösungen für Machine-Learning-/AI-Anwendungen. Mitarbeit an der Weiterentwicklung der SCHOTT MLOps-Plattform und zugehöriger Architekturkomponenten. Umsetzung von Machine-Learning-, Data-Science- und AI-Use-Cases aus der Fertigung. Unterstützung bei Entwicklung, Testen und Operationalisierung von ML-Modellen. Analyse, Aufbereitung und Visualisierung von Produktions- und Sensordaten. Evaluierung neuer Technologien im Bereich Machine Learning, MLOps und Künstliche Intelligenz. Anforderungen: Laufendes Studium der (Wirtschafts-)Informatik, Data Science, Mathematik, Physik, des (Wirtschafts-)Ingenieurwesens oder vergleichbar. Gute Grundkenntnisse in Python. Interesse und idealerweise erste praktische Erfahrungen in Machine Learning, Deep Learning oder Künstlicher Intelligenz. Interesse an Softwareentwicklung und modernen Cloud- bzw. Datenplattformen. Interesse an MLOps, Data Engineering oder Machine-Learning-Plattformen. Sehr gute Deutsch- und Englischkenntnisse."
Werkstudent Data Engineering & Data Science,Mercedes-Benz Tech Innovation,"Ulm, Deutschland","Aufgaben: Aktive Mitwirkung an der Entwicklung und Implementierung innovativer AI-Lösungen für die Fahrzeugvalidierung. Konzeption und Aufbau von Prototypen sowie Minimum Viable Products. Unterstützung im Data Engineering durch Gestaltung, Weiterentwicklung und Optimierung von Datenpipelines für Fahrzeug- und Sensordaten. Analyse komplexer Datensätze, Mustererkennung und Ableitung relevanter Features für Modelle. Entwicklung, Training und Evaluation von Machine-Learning- und Deep-Learning-Modellen, z.B. im Kontext von Predictive Maintenance oder Anomalieerkennung. Beobachtung aktueller AI-Trends.

Anforderungen: Laufendes Studium der Informatik, Data Science, Ingenieurwissenschaften, Mathematik, Physik oder vergleichbar. Fundierte Kenntnisse in Python, insbesondere Pandas, NumPy, scikit-learn sowie idealerweise TensorFlow oder PyTorch. Erste praktische Erfahrungen im Bereich Data Engineering (Datenpipelines, SQL, Databricks) und/oder Data Science (Machine Learning, Deep Learning) von Vorteil. Starkes analytisches Denkvermögen. Kenntnisse in Cloud-Plattformen (AWS, Azure, GCP) sowie sehr gute Deutsch- und Englischkenntnisse idealerweise.","Python, Pandas, NumPy, scikit-learn, TensorFlow, PyTorch, SQL, Databricks, Machine Learning, Deep Learning, AWS, Azure, GCP",StepStone,"Aufgaben: Aktive Mitwirkung an der Entwicklung und Implementierung innovativer AI-Lösungen für die Fahrzeugvalidierung. Konzeption und Aufbau von Prototypen sowie Minimum Viable Products. Unterstützung im Data Engineering durch Gestaltung, Weiterentwicklung und Optimierung von Datenpipelines für Fahrzeug- und Sensordaten. Analyse komplexer Datensätze, Mustererkennung und Ableitung relevanter Features für Modelle. Entwicklung, Training und Evaluation von Machine-Learning- und Deep-Learning-Modellen, z.B. im Kontext von Predictive Maintenance oder Anomalieerkennung. Beobachtung aktueller AI-Trends. Anforderungen: Laufendes Studium der Informatik, Data Science, Ingenieurwissenschaften, Mathematik, Physik oder vergleichbar. Fundierte Kenntnisse in Python, insbesondere Pandas, NumPy, scikit-learn sowie idealerweise TensorFlow oder PyTorch. Erste praktische Erfahrungen im Bereich Data Engineering (Datenpipelines, SQL, Databricks) und/oder Data Science (Machine Learning, Deep Learning) von Vorteil. Starkes analytisches Denkvermögen. Kenntnisse in Cloud-Plattformen (AWS, Azure, GCP) sowie sehr gute Deutsch- und Englischkenntnisse idealerweise."
Werkstudent Data Analytics / Computer Vision,CemeCon AG,"Würselen, Deutschland","Aufgaben: Analyse und Verarbeitung großer Datenmengen (Big Data) aus Produktions-, Sensor- und Bilddaten. Entwicklung und Anwendung von Machine-Learning-Modellen (Python) zur Mustererkennung, Prozessoptimierung und Qualitätsvorhersage. Erstellung von Auswertungen, Dashboards und Visualisierungen zur Unterstützung datenbasierter Entscheidungen. Mitarbeit bei der Entwicklung und Implementierung von Computer-Vision-Anwendungen zur Analyse von Oberflächen und Prozessen. Unterstützung bei automatisierter Defekt- und Anomalieerkennung mithilfe von Bilddaten und Sensorik.

Anforderungen: Eingeschriebener Student der Fachrichtung Informatik, Elektrotechnik, Maschinenbau, Computational Engineering Science, Wirtschaftsingenieurwesen oder vergleichbar. Interesse an Computer Vision, Data Analytics und industriellen Anwendungen. Gute Programmierkenntnisse in Python (pandas, NumPy, scikit-learn, ggf. TensorFlow/PyTorch). Idealerweise erste Erfahrung in Bildverarbeitung (OpenCV, Deep Learning), Machine Learning/Data Science, Verarbeitung großer Datenmengen oder ROS. Gutes Deutsch und Englisch.","Python, pandas, NumPy, scikit-learn, TensorFlow, PyTorch, OpenCV, Computer Vision, Deep Learning, Machine Learning, ROS",StepStone,"Aufgaben: Analyse und Verarbeitung großer Datenmengen (Big Data) aus Produktions-, Sensor- und Bilddaten. Entwicklung und Anwendung von Machine-Learning-Modellen (Python) zur Mustererkennung, Prozessoptimierung und Qualitätsvorhersage. Erstellung von Auswertungen, Dashboards und Visualisierungen zur Unterstützung datenbasierter Entscheidungen. Mitarbeit bei der Entwicklung und Implementierung von Computer-Vision-Anwendungen zur Analyse von Oberflächen und Prozessen. Unterstützung bei automatisierter Defekt- und Anomalieerkennung mithilfe von Bilddaten und Sensorik. Anforderungen: Eingeschriebener Student der Fachrichtung Informatik, Elektrotechnik, Maschinenbau, Computational Engineering Science, Wirtschaftsingenieurwesen oder vergleichbar. Interesse an Computer Vision, Data Analytics und industriellen Anwendungen. Gute Programmierkenntnisse in Python (pandas, NumPy, scikit-learn, ggf. TensorFlow/PyTorch). Idealerweise erste Erfahrung in Bildverarbeitung (OpenCV, Deep Learning), Machine Learning/Data Science, Verarbeitung großer Datenmengen oder ROS. Gutes Deutsch und Englisch."
